OBJECTID,Zip_Code,GlobalID,Shape__Area,Shape__Length
1,77340,40b7e61f-1ee2-4ab3-8462-c14513bf663c,6006447273.03125,492651.610080846
2,77026,c5513919-dc19-4cb1-9b7c-113ee75f12d6,182445884.566406,70590.6203173221
3,77043,85030dd9-1121-413e-9d2f-f1fa89647a93,394252238.554688,89696.4515272404
4,77378,a4d0e38b-804e-4082-bf70-fa5831afddff,2498211618.65625,376423.678102914
5,77469,e14dd275-2bc4-41d5-852e-9300dc513423,3139692416.34766,516976.57572483
6,77565,354fd5c5-41de-42c0-bb69-ea8474fad026,126616199.785156,76661.5088091634
7,77831,de7aa2d3-ac03-4422-bc52-b015f864a1ee,6390196785.50391,557302.30718445
8,77412,0903e904-6059-45e9-b5da-1bc470662d11,22994940.171875,30814.1621637424
9,77503,a1225a77-f07e-419c-9137-6c0c825be814,177703534.550781,69698.175783726
10,77204,e5ef3bf0-580b-4e30-81b4-c58497fef4e9,14099540.1171875,20184.1844172044
11,77541,02de5dfb-920e-4377-b9b4-19ac3adeb2c1,4668027120.75391,734962.43342391
12,77535,657275c0-0363-4349-be33-85f7e3107193,8701682841.90625,680070.228203424
13,77342,a420ac0a-104a-4019-908a-b5936686cbd1,7379913.64453125,13670.5298646522
14,77547,37a5c6f2-71fc-4e5a-a223-b50807ca0ad3,112088661.597656,52599.9520759707
15,77341,442d31c8-3d94-4347-8873-62a1331c6a45,428074.98828125,2710.06133111505
16,77465,cbbdf6a9-348a-4cef-ad54-26d24dacc3b8,9651056800.77734,921630.002825914
17,77480,a96e65cf-e24f-4046-8965-eb858a685061,3538922945.28516,517372.62936218
18,77488,190aac24-4a5b-4e88-b226-31663bfe9fc6,6337950598.57422,776288.967216294
19,77551,3dfe7752-3628-4aa6-abbd-7cb82c8a14d8,139338555.757813,73488.3485871207
20,77583,a6cf4a3f-8078-45bd-b540-57113ecf165f,4943096841.43359,515704.044401519
21,77835,f0d4ac2c-191e-4421-b5c8-2b3e0d930706,3284261468.08203,448422.376943011
22,77868,4cc3b816-e8af-43cc-a06f-1e6325e2c41f,7850459448.05078,712402.42354101
23,78943,85448cd1-f749-4a0d-b53b-e323e5b95022,19814411.7460938,23397.3790921272
24,78934,90d6669f-6d6e-4627-9029-e6fc5325ce9a,6260524613.26953,646246.103296154
25,77071,23141f12-8fa0-4150-b1da-ce6177078fd0,126274469.839844,62155.9395674632
26,77010,e11d4b37-0e0a-4705-99fa-ec6307240f70,3418874.79296875,8573.06732946348
27,77021,d9f98475-c32f-425e-9c36-bc926c0551a5,170050343.660156,64452.06305407
28,77030,e18e6211-d188-411a-9a05-823b158e9c59,73497079.515625,49831.1301203357
29,77042,170a735c-3322-423d-8b5c-8174469d5dc9,173013178.308594,70395.0929986775
30,77062,9576cba4-2637-40e3-bde5-2ae2b5e3363f,162300162.339844,63410.5085670841
31,77086,97f21a0f-7055-4fe4-bfd7-9b3c0d64b533,190753793.597656,72115.7202741165
32,77316,fe10a4b8-afd3-442d-92f1-981e9dd89927,3617514632.15234,397069.963658515
33,77328,9b66a4d7-e518-4505-bf96-213f8b1e4af5,5059178510.37109,452857.938692267
34,77346,12fe7697-c27e-4105-986f-9125b2052901,571111171.105469,121540.159975685
35,77354,7fed93cc-d628-47d1-8939-ca1e723cbf4e,2086376975.25,388988.013069592
36,77368,5fa202d4-7911-4e02-b55f-0831e9acc024,3075605.27734375,8649.00452435312
37,77414,3611b996-06ee-4080-b2c2-2eef55938601,15979448217.8359,1296013.84622103
38,77422,38645109-cc17-45c3-afef-9a71f57225ac,5076969885.45313,501314.514223805
39,77423,61656cc3-8a46-43f6-bf46-27a043d20e15,4197451476.95703,469795.721703556
40,77426,aaea7434-d50d-4ebb-b689-8cec13072952,2568004410.23047,379599.080438019
41,77430,b146ecdd-0609-4b30-a328-0d4eecd14ac3,3487560204.96484,429825.32536191
42,77435,0ae4453e-a64b-492b-a833-55f61c5a7b99,4988567490.75391,526490.325019879
43,77440,39f1ccbe-049c-4328-9a17-2045699d8682,107658091.988281,59253.7791650544
44,77445,b98dc7c0-d4ae-43cc-889f-ed1f2670215a,5254919330.98438,614256.974007271
45,77458,61a92759-fe40-4647-afa6-22f4e9aeb3e6,615280742.457031,123443.83895567
46,77460,45fe2301-4cc9-4c73-9a6a-d32364a7cf36,19418911.5859375,18116.3044936286
47,77833,89b3b2bb-aa1a-48a0-ac93-c29db1972f6a,8910206936.32813,771782.53290348
