OBJECTID,Zip_Code,GlobalID,201708mean
1,"77340",40b7e61f-1ee2-4ab3-8462-c14513bf663c,621.27587890625
2,"77026",c5513919-dc19-4cb1-9b7c-113ee75f12d6,920.689002602185
3,"77043",85030dd9-1121-413e-9d2f-f1fa89647a93,860.13525390625
4,"77378",a4d0e38b-804e-4082-bf70-fa5831afddff,780.486929086538
5,"77469",e14dd275-2bc4-41d5-852e-9300dc513423,698.252604166667
6,"77565",354fd5c5-41de-42c0-bb69-ea8474fad026,951.868107441656
7,"77831",de7aa2d3-ac03-4422-bc52-b015f864a1ee,438.947769657258
8,"77412","0903e904-6059-45e9-b5da-1bc470662d11",557.688897881859
9,"77503",a1225a77-f07e-419c-9137-6c0c825be814,959.040422749585
10,"77204",e5ef3bf0-580b-4e30-81b4-c58497fef4e9,887.0400390625
11,"77541","02de5dfb-920e-4377-b9b4-19ac3adeb2c1",733.835979959239
12,"77535",657275c0-0363-4349-be33-85f7e3107193,1093.08757990057
13,"77342",a420ac0a-104a-4019-908a-b5936686cbd1,577.580078125
14,"77547",37a5c6f2-71fc-4e5a-a223-b50807ca0ad3,940.290710316281
15,"77341",442d31c8-3d94-4347-8873-62a1331c6a45,592.009765625
16,"77465",cbbdf6a9-348a-4cef-ad54-26d24dacc3b8,431.181196732955
17,"77480",a96e65cf-e24f-4046-8965-eb858a685061,559.302332261029
18,"77488",190aac24-4a5b-4e88-b226-31663bfe9fc6,510.014480064655
19,"77551",3dfe7752-3628-4aa6-abbd-7cb82c8a14d8,800.3603515625
20,"77583",a6cf4a3f-8078-45bd-b540-57113ecf165f,772.6676171875
21,"77835",f0d4ac2c-191e-4421-b5c8-2b3e0d930706,533.172449448529
22,"77868",4cc3b816-e8af-43cc-a06f-1e6325e2c41f,516.909733952703
23,"78943",85448cd1-f749-4a0d-b53b-e323e5b95022,616.242680943109
24,"78934",90d6669f-6d6e-4627-9029-e6fc5325ce9a,598.474772135417
25,"77071",23141f12-8fa0-4150-b1da-ce6177078fd0,799.261894009888
26,"77010",e11d4b37-0e0a-4705-99fa-ec6307240f70,895.386204465261
27,"77021",d9f98475-c32f-425e-9c36-bc926c0551a5,877.003699391717
28,"77030",e18e6211-d188-411a-9a05-823b158e9c59,860.667184582137
29,"77042",170a735c-3322-423d-8b5c-8174469d5dc9,825.131252408205
30,"77062",9576cba4-2637-40e3-bde5-2ae2b5e3363f,943.802801976276
31,"77086",97f21a0f-7055-4fe4-bfd7-9b3c0d64b533,896.935947649
